Esum_keV,pdf_per_keV,rate_per_tonne_year_keV_w136eq1,rate_per_tonne_year_keV_natural_LXe,rate_per_tonne_year_keV_w136eq0p90
1365.0,0.0005269696222804309,747.5866406125147,68.54311320207236,672.8279765512632
1366.0,0.0005257555988695307,745.864363568437,68.38520477516305,671.2779272115934
1367.0,0.0005245415619371998,744.1420673421513,68.22729458951676,669.7278606079361
1368.0,0.0005233275211807466,742.4197656907661,68.06938390646563,668.1777891216893
1369.0,0.0005221134862858939,740.6974723549533,67.9114739858348,666.6277251194579
1370.0,0.0005208994669266736,738.9752010588005,67.75356608592884,665.0776809529203
1371.0,0.0005196854727653274,737.2529655096686,67.5956614635187,663.5276689587016
1372.0,0.0005184715134522007,735.5307793980417,67.437761373828,661.9777014582374
1373.0,0.000517257598625642,733.8086563973844,67.27986707051993,660.427790757646
1374.0,0.0005160437379118981,732.0866101639938,67.1219798056836,658.8779491475943
1375.0,0.0005148299409250144,730.3646543368568,66.96410082982105,657.328188903171
1376.0,0.0005136162172667304,728.6428025375027,66.80623139183373,655.7785222837524
1377.0,0.0005124025765263787,726.9210683698601,66.64837273900935,654.228961532874
1378.0,0.0005111890282807832,725.1994654201113,66.49052611700849,652.6795188781001
1379.0,0.0005099755820941571,723.4780072565493,66.33269276985158,651.1302065308943
1380.0,0.000508762247518001,721.7567074294316,66.17487393990542,649.5810366864883
1381.0,0.0005075490340910028,720.0355794708396,66.01707086787037,648.0320215237555
1382.0,0.0005063359513389357,718.3146368945324,65.85928479276684,646.4831732050791
1383.0,0.0005051230087745565,716.5938931958043,65.70151695192229,644.9345038762239
1384.0,0.0005039102158975065,714.8733618513427,65.54376858095817,643.3860256662083
1385.0,0.0005026975821942097,713.1530563190843,65.38604091377685,641.8377506871758
1386.0,0.000501485117137773,711.4329900380734,65.22833518254843,640.289691034266
1387.0,0.0005002728301878855,709.7131764283195,65.07065261769783,638.7418587854875
1388.0,0.0004990607307907185,707.9936288906545,64.91299444789165,637.194266001589
1389.0,0.0004978488283788264,706.2743608065932,64.7553619000254,635.6469247259338
1390.0,0.0004966371323710458,704.5553855381892,64.59775619921025,634.0998469843702
1391.0,0.0004954256521723975,702.8367164278964,64.44017856876036,632.5530447851066
1392.0,0.0004942143971739861,701.1183667984262,64.28263023017983,631.0065301185836
1393.0,0.0004930033767529007,699.4003499526078,64.12511240314974,629.460314957347
1394.0,0.000491792600272118,697.6826791732489,63.96762630551559,627.9144112559239
1395.0,0.0004905820770804011,695.9653677229929,63.81017315327405,626.3688309506936
1396.0,0.0004893718165122031,694.2484288441832,63.65275416056054,624.8235859597648
1397.0,0.0004881618278875669,692.5318757587195,63.49537053963615,623.2786881828475
1398.0,0.00048695212051202887,690.8157216679218,63.33802350087504,621.7341495011295
